36,,"2018-08-08 20:30:53",1,2,1,1,0,0,3,2,1,3.60,,19,1,,,2,2,,,,4,1,4,3,4,2,5,2,4,3,5,1,5,4,2,2,5,1,3,2,4,1,4,2,4,2,4,1,2,2,5,1,5,3,3,2,5,1,3,3,4,5,4,2,4,2,5,4,2,4,42,49,45,34,35,2
37,,"[not completed]",1,2,3,5,0,1,2,1,0,,,,5,8,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,,"2018-08-08 21:08:14",1,1,2,1,0,0,12,4,0,3.7,,21,5,10,,1,2,,,,3,2,5,4,4,2,4,1,2,3,4,1,5,5,4,3,1,1,5,3,4,4,5,3,3,3,2,1,3,3,4,2,5,1,4,5,4,1,1,3,4,1,5,3,4,5,4,4,1,2,31,31,49,34,33,2
39,,"[not completed]",1,2,1,1,0,1,11,5,1,3.7,,21,5,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,,"2018-08-08 22:23:42",2,,,,,,,,,,,,,,,2,2,5,3,3,5,1,5,1,3,1,5,1,5,1,5,1,5,2,4,1,5,1,1,1,5,1,5,1,5,1,4,1,1,1,5,1,5,4,5,4,5,1,1,4,4,5,5,1,3,1,5,4,1,4,46,49,49,42,43,2
41,,"2018-08-08 22:48:32",1,3,1,1,0,1,10,2,0,4.0,,25,1,,,2,3,,,,1,1,5,4,4,4,3,1,2,2,2,1,5,5,5,5,5,1,1,2,4,2,5,1,4,4,5,1,4,1,2,2,5,1,4,5,5,1,1,3,2,5,5,2,3,4,5,4,4,3,19,46,49,29,39,2
42,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,,"2018-08-09 01:21:29",1,1,1,1,0,0,5,2,0,3.54,,19,5,4,,2,2,,,,3,1,4,3,2,2,5,3,4,4,4,1,4,3,4,1,5,1,5,2,3,2,4,2,4,3,5,1,2,2,4,1,5,2,4,5,4,2,1,1,2,4,4,2,4,3,4,3,1,3,32,46,41,41,32,2
44,,"2018-08-09 07:19:28",1,3,1,1,1,0,8,5,0,3.55,,20,5,9,,1,2,,,,4,1,4,2,4,2,4,4,4,2,4,2,4,2,4,2,5,3,4,2,4,1,2,2,4,2,4,2,2,2,4,1,4,2,5,3,4,2,2,4,3,5,3,2,4,2,4,4,2,4,38,45,34,40,41,2
45,,"2018-08-09 08:48:58",1,2,1,1,1,0,8,3,0,3.99,3.2,22,5,1,,1,2,,,,3,4,4,1,4,3,2,3,4,1,4,5,5,1,5,3,3,3,5,2,2,4,4,1,4,3,3,1,1,1,5,3,5,2,5,3,3,1,1,3,2,3,4,1,2,3,5,5,1,5,31,27,43,48,42,2
46,,"2018-08-09 08:50:07",1,4,2,1,0,0,6,1,0,3.45,3.80,18,5,4,,2,2,,,,2,1,5,5,3,3,4,1,2,4,4,1,5,5,3,4,4,1,3,3,4,1,4,3,4,2,5,1,4,3,3,2,4,4,4,4,5,3,4,2,3,4,4,4,4,2,4,4,3,4,31,45,44,21,32,2
47,,"2018-08-09 08:46:28",1,4,1,1,0,0,6,2,0,3.9,3.8,24,1,,,1,2,,,,3,4,5,2,1,3,5,1,4,2,5,2,4,3,2,3,2,1,5,3,3,4,5,1,3,3,3,1,1,3,3,2,5,1,4,5,5,1,1,1,3,1,5,1,2,4,4,5,1,3,29,32,49,46,26,2
48,,"2018-08-09 08:47:41",1,2,1,1,0,0,5,5,0,3.96,3.3,23,1,,,1,2,,,,5,1,4,3,5,1,5,2,4,1,5,2,5,4,5,1,5,1,4,1,5,1,3,1,5,1,4,4,3,1,5,1,4,4,5,2,5,1,2,5,5,5,3,4,5,1,5,4,3,5,49,48,39,32,50,2
